type,demo,n
Accessories,Graduate,23
Accessories,Undergraduate,164
Accessories,Other,1
Collared Shirts,Graduate,22
Collared Shirts,Undergraduate,196
Collared Shirts,Other,3
Dresses,Graduate,44
Dresses,Undergraduate,183
Dresses,Other,5
Outerwear,Graduate,21
Outerwear,Undergraduate,111
Outerwear,Other,5
Pants,Graduate,73
Pants,Undergraduate,318
Pants,Other,13
Shoes,Graduate,13
Shoes,Undergraduate,78
Shoes,Other,2
Shorts,Graduate,16
Shorts,Undergraduate,92
Shorts,Other,2
Skirts,Graduate,18
Skirts,Undergraduate,119
Skirts,Other,3
Sweaters,Graduate,37
Sweaters,Undergraduate,304
Sweaters,Other,7
Tops,Graduate,142
Tops,Undergraduate,748
Tops,Other,19
